relative_path,size,last_write_time,category
.chatgpt-instructions.md,192,1780232828.936288,phase1_root_generated
.cursorrules,192,1780232828.9372911,phase1_root_generated
AGENTS.md,329,1780232828.9342887,phase1_root_generated
CLAUDE.md,192,1780232828.9342887,phase1_root_generated
docs\migration_manifests\copy_manifest.csv,4853189,1780233022.9971151,phase1_manifest
docs\migration_manifests\deduplication_manifest.csv,665639,1780233023.0147934,phase1_manifest
docs\migration_manifests\excluded_manifest.csv,25852,1780233023.0157912,phase1_manifest
docs\migration_manifests\legacy_git_status_after_verify.txt,232,1780233125.112075,phase1_manifest
docs\migration_manifests\legacy_git_status_before.txt,224,1780232828.9332905,phase1_manifest
docs\migration_manifests\mtc_command_center_sha256_manifest.csv,138143,1780233023.0878298,phase1_manifest
docs\migration_manifests\phase1_apply_summary.json,372,1780233023.092834,phase1_manifest
docs\migration_manifests\pine_sha256_manifest.csv,4789,1780233180.390497,phase1_manifest
docs\migration_manifests\verify_migration_result.json,455,1780233180.487626,phase1_manifest
GEMINI.md,192,1780232828.9352891,phase1_root_generated
MTC_COMMAND_CENTER\01_MTC_PROJECT\_AI_MEMORY\ACTIVE_FILES.md,16,1780232829.1560242,phase1_generated_or_unmapped
MTC_COMMAND_CENTER\01_MTC_PROJECT\_AI_MEMORY\DECISIONS.md,13,1780232829.1560242,phase1_generated_or_unmapped
MTC_COMMAND_CENTER\01_MTC_PROJECT\_AI_MEMORY\HANDOFF.md,239,1780232829.1540115,phase1_generated_or_unmapped
MTC_COMMAND_CENTER\01_MTC_PROJECT\_AI_MEMORY\NEXT_STEPS.md,142,1780232829.1550229,phase1_generated_or_unmapped
MTC_COMMAND_CENTER\02_MTC_BACKTEST\_AI_MEMORY\ACTIVE_FILES.md,16,1780232829.1590207,phase1_generated_or_unmapped
MTC_COMMAND_CENTER\02_MTC_BACKTEST\_AI_MEMORY\DECISIONS.md,13,1780232829.1580203,phase1_generated_or_unmapped
MTC_COMMAND_CENTER\02_MTC_BACKTEST\_AI_MEMORY\HANDOFF.md,239,1780232829.1570227,phase1_generated_or_unmapped
MTC_COMMAND_CENTER\02_MTC_BACKTEST\_AI_MEMORY\NEXT_STEPS.md,142,1780232829.1580203,phase1_generated_or_unmapped
MTC_COMMAND_CENTER\02_MTC_BACKTEST\hardcoded_path_rewrite_TODO.md,3165,1780233022.840139,phase1_generated_or_unmapped
MTC_COMMAND_CENTER\03_QUANTLENS\_AI_MEMORY\ACTIVE_FILES.md,16,1780232829.164026,phase1_generated_or_unmapped
MTC_COMMAND_CENTER\03_QUANTLENS\_AI_MEMORY\DECISIONS.md,13,1780232829.1630201,phase1_generated_or_unmapped
MTC_COMMAND_CENTER\03_QUANTLENS\_AI_MEMORY\HANDOFF.md,239,1780232829.161022,phase1_generated_or_unmapped
MTC_COMMAND_CENTER\03_QUANTLENS\_AI_MEMORY\NEXT_STEPS.md,142,1780232829.1620276,phase1_generated_or_unmapped
MTC_COMMAND_CENTER\03_QUANTLENS\_AI_MEMORY\STRATEGY_REGISTRY.md,16221,1780233000.9273846,phase1_generated_or_unmapped
MTC_COMMAND_CENTER\03_QUANTLENS\strategies\STG001_ql_alpha_ada_two_candle_sr_1h\README.md,171,1780232996.5811236,phase1_generated_or_unmapped
MTC_COMMAND_CENTER\03_QUANTLENS\strategies\STG001_ql_alpha_ada_two_candle_sr_1h\STATUS.md,391,1780232996.5801258,phase1_generated_or_unmapped
MTC_COMMAND_CENTER\03_QUANTLENS\strategies\STG002_ql_alpha_link_8ema_1h\README.md,155,1780232996.8361995,phase1_generated_or_unmapped
MTC_COMMAND_CENTER\03_QUANTLENS\strategies\STG002_ql_alpha_link_8ema_1h\STATUS.md,375,1780232996.835204,phase1_generated_or_unmapped
MTC_COMMAND_CENTER\03_QUANTLENS\strategies\STG003_ql_alpha_ltc_rsi_oversold_1h\README.md,169,1780232996.9719343,phase1_generated_or_unmapped
MTC_COMMAND_CENTER\03_QUANTLENS\strategies\STG003_ql_alpha_ltc_rsi_oversold_1h\STATUS.md,389,1780232996.9709346,phase1_generated_or_unmapped
MTC_COMMAND_CENTER\03_QUANTLENS\strategies\STG004_ql_avwap_brian_earnings_anchor_1d\README.md,179,1780232996.978934,phase1_generated_or_unmapped
MTC_COMMAND_CENTER\03_QUANTLENS\strategies\STG004_ql_avwap_brian_earnings_anchor_1d\STATUS.md,399,1780232996.978934,phase1_generated_or_unmapped
MTC_COMMAND_CENTER\03_QUANTLENS\strategies\STG005_ql_avwap_brian_gap_reclaim_5m\README.md,171,1780232996.997475,phase1_generated_or_unmapped
MTC_COMMAND_CENTER\03_QUANTLENS\strategies\STG005_ql_avwap_brian_gap_reclaim_5m\STATUS.md,391,1780232996.9964747,phase1_generated_or_unmapped
MTC_COMMAND_CENTER\03_QUANTLENS\strategies\STG006_ql_avwap_brian_intraday_or_5m\README.md,171,1780232997.0158796,phase1_generated_or_unmapped
MTC_COMMAND_CENTER\03_QUANTLENS\strategies\STG006_ql_avwap_brian_intraday_or_5m\STATUS.md,391,1780232997.0148773,phase1_generated_or_unmapped
MTC_COMMAND_CENTER\03_QUANTLENS\strategies\STG007_ql_avwap_brian_stage2_emerging_1d\README.md,179,1780232997.036167,phase1_generated_or_unmapped
MTC_COMMAND_CENTER\03_QUANTLENS\strategies\STG007_ql_avwap_brian_stage2_emerging_1d\STATUS.md,399,1780232997.0341685,phase1_generated_or_unmapped
MTC_COMMAND_CENTER\03_QUANTLENS\strategies\STG008_ql_connell_event_driven_gap_1d\README.md,173,1780232997.0561237,phase1_generated_or_unmapped
MTC_COMMAND_CENTER\03_QUANTLENS\strategies\STG008_ql_connell_event_driven_gap_1d\STATUS.md,393,1780232997.0539417,phase1_generated_or_unmapped
MTC_COMMAND_CENTER\03_QUANTLENS\strategies\STG009_ql_connell_event_driven_gap_5m\README.md,173,1780232997.064314,phase1_generated_or_unmapped
MTC_COMMAND_CENTER\03_QUANTLENS\strategies\STG009_ql_connell_event_driven_gap_5m\STATUS.md,393,1780232997.063313,phase1_generated_or_unmapped
