"path","length","last_write_time","sha256"
"C:\LAB\Tradingview_LAB_CLEAN\.chatgpt-instructions.md","192","2026-05-31T16:07:08.9362880+03:00","111765F9F96D3FE9E817BF7C6C30C80F20BE13E413C54575A4FDBD80D6CCAD61"
"C:\LAB\Tradingview_LAB_CLEAN\.cursorrules","192","2026-05-31T16:07:08.9372912+03:00","111765F9F96D3FE9E817BF7C6C30C80F20BE13E413C54575A4FDBD80D6CCAD61"
"C:\LAB\Tradingview_LAB_CLEAN\.git\config","130","2026-05-31T17:49:39.0387657+03:00","05BECDB83BB897F6103C8D91439E2E9092144EDF5B3955A746FCE4975C12BFDC"
"C:\LAB\Tradingview_LAB_CLEAN\.git\description","73","2026-05-31T17:49:39.0216293+03:00","85AB6C163D43A17EA9CF7788308BCA1466F1B0A8D1CC92E26E9BF63DA4062AEE"
"C:\LAB\Tradingview_LAB_CLEAN\.git\HEAD","23","2026-05-31T17:49:39.0421720+03:00","F6F2B945F6C411B02BA3DA9C7ACE88DCF71B6AF65BA2E0D89AA82900042B5A10"
"C:\LAB\Tradingview_LAB_CLEAN\.git\hooks\applypatch-msg.sample","478","2026-05-31T17:49:39.0226223+03:00","0223497A0B8B033AA58A3A521B8629869386CF7AB0E2F101963D328AA62193F7"
"C:\LAB\Tradingview_LAB_CLEAN\.git\hooks\commit-msg.sample","896","2026-05-31T17:49:39.0226223+03:00","1F74D5E9292979B573EBD59741D46CB93FF391ACDD083D340B94370753D92437"
"C:\LAB\Tradingview_LAB_CLEAN\.git\hooks\fsmonitor-watchman.sample","4726","2026-05-31T17:49:39.0226223+03:00","E0549964E93897B519BD8E333C037E51FFF0F88BA13E086A331592BF801FA1D0"
"C:\LAB\Tradingview_LAB_CLEAN\.git\hooks\post-update.sample","189","2026-05-31T17:49:39.0238939+03:00","81765AF2DAEF323061DCBC5E61FC16481CB74B3BAC9AD8A174B186523586F6C5"
"C:\LAB\Tradingview_LAB_CLEAN\.git\hooks\pre-applypatch.sample","424","2026-05-31T17:49:39.0238939+03:00","E15C5B469EA3E0A695BEA6F2C82BCF8E62821074939DDD85B77E0007FF165475"
"C:\LAB\Tradingview_LAB_CLEAN\.git\hooks\pre-commit.sample","1649","2026-05-31T17:49:39.0238939+03:00","57185B7B9F05239D7AB52DB045F5B89EB31348D7B2177EAB214F5EB872E1971B"
"C:\LAB\Tradingview_LAB_CLEAN\.git\hooks\pre-merge-commit.sample","416","2026-05-31T17:49:39.0238939+03:00","D3825A70337940EBBD0A5C072984E13245920CDF8898BD225C8D27A6DFC9CB53"
"C:\LAB\Tradingview_LAB_CLEAN\.git\hooks\prepare-commit-msg.sample","1492","2026-05-31T17:49:39.0264373+03:00","E9DDCAA4189FDDD25ED97FC8C789ECA7B6CA16390B2392AE3276F0C8E1AA4619"
"C:\LAB\Tradingview_LAB_CLEAN\.git\hooks\pre-push.sample","1374","2026-05-31T17:49:39.0248942+03:00","ECCE9C7E04D3F5DD9D8ADA81753DD1D549A9634B26770042B58DDA00217D086A"
"C:\LAB\Tradingview_LAB_CLEAN\.git\hooks\pre-rebase.sample","4898","2026-05-31T17:49:39.0264373+03:00","4FEBCE867790052338076F4E66CC47EFB14879D18097D1D61C8261859EAAA7B3"
"C:\LAB\Tradingview_LAB_CLEAN\.git\hooks\pre-receive.sample","544","2026-05-31T17:49:39.0264373+03:00","A4C3D2B9C7BB3FD8D1441C31BD4EE71A595D66B44FCF49DDB310252320169989"
"C:\LAB\Tradingview_LAB_CLEAN\.git\hooks\push-to-checkout.sample","2783","2026-05-31T17:49:39.0275112+03:00","A53D0741798B287C6DD7AFA64AEE473F305E65D3F49463BB9D7408EC3B12BF5F"
