pid,name,cwd
1720,codex.exe,C:\LAB\tradingview-lab\01_MASTER TEMPLATE_V2\
2772,codex.exe,C:\LAB\tradingview-lab\01_MASTER TEMPLATE_V2\
16372,codex.exe,C:\LAB\tradingview-lab\01_MASTER TEMPLATE_V2\
18568,codex.exe,C:\LAB\tradingview-lab\01_MASTER TEMPLATE_V2\
21620,codex.exe,C:\LAB\tradingview-lab\
28324,codex.exe,C:\LAB\tradingview-lab\01_MASTER TEMPLATE_V2\
31516,codex.exe,C:\LAB\tradingview-lab\01_MASTER TEMPLATE_V2\
34052,codex.exe,C:\LAB\tradingview-lab\01_MASTER TEMPLATE_V2\
39344,codex.exe,C:\LAB\tradingview-lab\01_MASTER TEMPLATE_V2\
39656,codex.exe,C:\LAB\tradingview-lab\01_MASTER TEMPLATE_V2\
41212,codex.exe,C:\LAB\tradingview-lab\YOUTUBE_STRATEGY_INTAKE\
46064,codex.exe,C:\LAB\tradingview-lab\01_MASTER TEMPLATE_V2\
46888,codex.exe,C:\LAB\tradingview-lab\01_MASTER TEMPLATE_V2\
60584,codex.exe,C:\LAB\tradingview-lab\01_MASTER TEMPLATE_V2\
5048,grep.exe,C:\LAB\tradingview-lab\01_MASTER TEMPLATE_V2\06_QUANTLENS_LAB\tools\
41156,grep.exe,C:\LAB\tradingview-lab\01_MASTER TEMPLATE_V2\06_QUANTLENS_LAB\tools\
52556,grep.exe,C:\LAB\tradingview-lab\01_MASTER TEMPLATE_V2\06_QUANTLENS_LAB\tools\
54352,grep.exe,C:\LAB\tradingview-lab\01_MASTER TEMPLATE_V2\06_QUANTLENS_LAB\tools\
55672,grep.exe,C:\LAB\tradingview-lab\01_MASTER TEMPLATE_V2\
6772,node_repl.exe,C:\LAB\tradingview-lab\01_MASTER TEMPLATE_V2\
16480,node_repl.exe,C:\LAB\tradingview-lab\01_MASTER TEMPLATE_V2\
16928,node_repl.exe,C:\LAB\tradingview-lab\01_MASTER TEMPLATE_V2\
17292,node_repl.exe,C:\LAB\tradingview-lab\01_MASTER TEMPLATE_V2\
17936,node_repl.exe,C:\LAB\tradingview-lab\01_MASTER TEMPLATE_V2\
18288,node_repl.exe,C:\LAB\tradingview-lab\01_MASTER TEMPLATE_V2\
21952,node_repl.exe,C:\LAB\tradingview-lab\01_MASTER TEMPLATE_V2\
30244,node_repl.exe,C:\LAB\tradingview-lab\01_MASTER TEMPLATE_V2\
33296,node_repl.exe,C:\LAB\tradingview-lab\01_MASTER TEMPLATE_V2\
41036,node_repl.exe,C:\LAB\tradingview-lab\YOUTUBE_STRATEGY_INTAKE\
41340,node_repl.exe,C:\LAB\tradingview-lab\01_MASTER TEMPLATE_V2\
59308,node_repl.exe,C:\LAB\tradingview-lab\01_MASTER TEMPLATE_V2\
62276,node_repl.exe,C:\LAB\tradingview-lab\
66188,node_repl.exe,C:\LAB\tradingview-lab\01_MASTER TEMPLATE_V2\
13784,tail.exe,C:\LAB\tradingview-lab\01_MASTER TEMPLATE_V2\
22032,tail.exe,C:\LAB\tradingview-lab\01_MASTER TEMPLATE_V2\06_QUANTLENS_LAB\tools\
27800,tail.exe,C:\LAB\tradingview-lab\01_MASTER TEMPLATE_V2\06_QUANTLENS_LAB\tools\
31028,tail.exe,C:\LAB\tradingview-lab\01_MASTER TEMPLATE_V2\06_QUANTLENS_LAB\tools\
46792,tail.exe,C:\LAB\tradingview-lab\01_MASTER TEMPLATE_V2\06_QUANTLENS_LAB\tools\
