path,manifest_hash,current_hash,match
C:\LAB\Tradingview_LAB_CLEAN\MTC_COMMAND_CENTER\01_MTC_PROJECT\01_PINE\MTC_V2.pine,e45bb6eb81c7773d6577ac976731a85ed7d5b90d57f24116b9d3ff73a67df900,e45bb6eb81c7773d6577ac976731a85ed7d5b90d57f24116b9d3ff73a67df900,YES
C:\LAB\Tradingview_LAB_CLEAN\MTC_COMMAND_CENTER\01_MTC_PROJECT\docs\mtc_multi_oracle_starter_kit\examples\synthetic_case\example_mtc_strategy.pine,8b4b4a3f6c2eec35d6492728086660c898a7c232b3ba452fd09fada9f0c19ef4,8b4b4a3f6c2eec35d6492728086660c898a7c232b3ba452fd09fada9f0c19ef4,YES
C:\LAB\Tradingview_LAB_CLEAN\MTC_COMMAND_CENTER\01_MTC_PROJECT\parity_oracles\feature_adapters\pinets\producer_range_filter_v1.pine,6287a96f07ac9ee2bc9447d2fea27ee7a469148a41d10c282423d4da50a75198,6287a96f07ac9ee2bc9447d2fea27ee7a469148a41d10c282423d4da50a75198,YES
C:\LAB\Tradingview_LAB_CLEAN\MTC_COMMAND_CENTER\01_MTC_PROJECT\parity_oracles\templates\pinets_feature_adapter_template.pine,dc4eadc00952ea03cde0765f5686a08235c1b000e5fe947d4176ed38ecd3b65d,dc4eadc00952ea03cde0765f5686a08235c1b000e5fe947d4176ed38ecd3b65d,YES
C:\LAB\Tradingview_LAB_CLEAN\MTC_COMMAND_CENTER\01_MTC_PROJECT\reports\parity\case_001\pinets\MTC_V2_PINETS_SIGNAL_ADAPTER.pine,15fb2ebc6bfcc7fabc0f6d3b19529ce305dc6f534367be8e18dce8bf395c420d,15fb2ebc6bfcc7fabc0f6d3b19529ce305dc6f534367be8e18dce8bf395c420d,YES
C:\LAB\Tradingview_LAB_CLEAN\MTC_COMMAND_CENTER\01_MTC_PROJECT\reports\parity\case_001\pinets\MTC_V2_PINETS_SUPERTREND_SIGNAL_ADAPTER.pine,205f8cffd17e97a491de14793dadbd5c2e7e3e1cdce5c1859e157ea5e54d0b0d,205f8cffd17e97a491de14793dadbd5c2e7e3e1cdce5c1859e157ea5e54d0b0d,YES
C:\LAB\Tradingview_LAB_CLEAN\MTC_COMMAND_CENTER\01_MTC_PROJECT\reports\parity\case_001\pinets_full_adapter\MTC_V2_PINETS_SIGNAL_ADAPTER.pine,6a125856db88463a701c31169327c5a84d26a3cfcf1e9ec25d870943912483ca,6a125856db88463a701c31169327c5a84d26a3cfcf1e9ec25d870943912483ca,YES
C:\LAB\Tradingview_LAB_CLEAN\MTC_COMMAND_CENTER\01_MTC_PROJECT\reports\parity\case_001\pinets_supertrend_only\MTC_V2_PINETS_SUPERTREND_SIGNAL_ADAPTER.pine,205f8cffd17e97a491de14793dadbd5c2e7e3e1cdce5c1859e157ea5e54d0b0d,205f8cffd17e97a491de14793dadbd5c2e7e3e1cdce5c1859e157ea5e54d0b0d,YES
C:\LAB\Tradingview_LAB_CLEAN\MTC_COMMAND_CENTER\01_MTC_PROJECT\reports\parity\case_001\supertrend_isolation\supertrend_only_adapter.pine,7a8da8925fb29a98318c801364f917cb77650c7bdd405f3f7011da3370a8da70,7a8da8925fb29a98318c801364f917cb77650c7bdd405f3f7011da3370a8da70,YES
C:\LAB\Tradingview_LAB_CLEAN\MTC_COMMAND_CENTER\01_MTC_PROJECT\reports\parity\case_001_range_filter\pinets_range_filter_full\MTC_V2_PINETS_SIGNAL_ADAPTER.pine,b20aab4527cb01d3ac3b1b5b0f7f75329054adcf0274e9a80c27eff97b26f424,b20aab4527cb01d3ac3b1b5b0f7f75329054adcf0274e9a80c27eff97b26f424,YES
C:\LAB\Tradingview_LAB_CLEAN\MTC_COMMAND_CENTER\02_MTC_BACKTEST\scripts\pine_debug_supertrend.pine,61d2724e2d3a0d16d098fcab51ee45f15fdcbafa1809ff8d345896ec1b0f06a9,61d2724e2d3a0d16d098fcab51ee45f15fdcbafa1809ff8d345896ec1b0f06a9,YES
C:\LAB\Tradingview_LAB_CLEAN\MTC_COMMAND_CENTER\02_MTC_BACKTEST\scripts\pine_debug_supertrend_table.pine,ac8f9123d4d6ff24d3a50bf7d67ba4816bfc8c60c5f0c9d714a371637c709e57,ac8f9123d4d6ff24d3a50bf7d67ba4816bfc8c60c5f0c9d714a371637c709e57,YES
C:\LAB\Tradingview_LAB_CLEAN\MTC_COMMAND_CENTER\03_QUANTLENS\strategies\STG001_ql_alpha_ada_two_candle_sr_1h\ADA_TWO_CANDLE_SR_REVIEW.pine,3879ce63f85e59ca7e1a5de2844d5dc5db3050bcb73f371c88f11fcfdf3422c6,3879ce63f85e59ca7e1a5de2844d5dc5db3050bcb73f371c88f11fcfdf3422c6,YES
C:\LAB\Tradingview_LAB_CLEAN\MTC_COMMAND_CENTER\03_QUANTLENS\strategies\STG002_ql_alpha_link_8ema_1h\LINK_8EMA_REVIEW.pine,278e9ec399368092800c6858425d5b83c6058cd57d9fc76fbec2434373a09478,278e9ec399368092800c6858425d5b83c6058cd57d9fc76fbec2434373a09478,YES
C:\LAB\Tradingview_LAB_CLEAN\MTC_COMMAND_CENTER\03_QUANTLENS\strategies\STG046_qlr_r215f4fj7v8\standalone_pine_strategy_REVIEW.pine,1067ba377a6e07ad2c972d6849f17ebff63aceb377d4c6e3e547e99fdb7c193c,1067ba377a6e07ad2c972d6849f17ebff63aceb377d4c6e3e547e99fdb7c193c,YES
C:\LAB\Tradingview_LAB_CLEAN\MTC_COMMAND_CENTER\03_QUANTLENS\strategies\STG046_qlr_r215f4fj7v8\standalone_pine_visual_review.pine,4f143607c709834616fb5de2ccbb693079b89e3b314227278d66078150b472e9,4f143607c709834616fb5de2ccbb693079b89e3b314227278d66078150b472e9,YES
C:\LAB\Tradingview_LAB_CLEAN\MTC_COMMAND_CENTER\03_QUANTLENS\strategies\STG046_qlr_r215f4fj7v8\standalone_pine_visual_review_BALANCED.pine,2187b2b5c5f124316a7c36d4ad8b2c60ad4057c4d2da69088a34ff8d1857690b,2187b2b5c5f124316a7c36d4ad8b2c60ad4057c4d2da69088a34ff8d1857690b,YES
C:\LAB\Tradingview_LAB_CLEAN\MTC_COMMAND_CENTER\03_QUANTLENS\strategies\STG046_qlr_r215f4fj7v8\standalone_pine_visual_review_CLEAN.pine,fbddf4cc39d6aa162e02fd1da77620b75268463a80a0e994751f10b6899ea4b3,fbddf4cc39d6aa162e02fd1da77620b75268463a80a0e994751f10b6899ea4b3,YES
C:\LAB\Tradingview_LAB_CLEAN\MTC_COMMAND_CENTER\04_SHARED\modules\LIB_ConfirmationLayer.pine,a40b659219b6f0e58d43a3ad2706e5e62f477afe263eeb1fd7d4f224ab69bec2,a40b659219b6f0e58d43a3ad2706e5e62f477afe263eeb1fd7d4f224ab69bec2,YES
C:\LAB\Tradingview_LAB_CLEAN\MTC_COMMAND_CENTER\04_SHARED\modules\LIB_MATH_HELPERS.pine,41ebe7eac7c8d82305636b93f27a78062fbc578644efa7516d7667f4f7028639,41ebe7eac7c8d82305636b93f27a78062fbc578644efa7516d7667f4f7028639,YES
C:\LAB\Tradingview_LAB_CLEAN\MTC_COMMAND_CENTER\04_SHARED\modules\LIB_Signal_RangeFilter.pine,e989da482d67f398fa17cc7e5548b1da6a94e07e2509f889bef2022d8c0352ed,e989da482d67f398fa17cc7e5548b1da6a94e07e2509f889bef2022d8c0352ed,YES
C:\LAB\Tradingview_LAB_CLEAN\MTC_COMMAND_CENTER\04_SHARED\modules\LIB_Signal_Supertrend.pine,64d4e6ca671bc7539dc920a203970015982d6e9eac0679d679002b9f18d00e41,64d4e6ca671bc7539dc920a203970015982d6e9eac0679d679002b9f18d00e41,YES
C:\LAB\Tradingview_LAB_CLEAN\MTC_COMMAND_CENTER\04_SHARED\modules\LIB_SLTP_HELPERS.pine,bf7dcb4506f1620dbf8a6a77c341e04db4245e791980f2b21e1a0e7dadb2b52d,bf7dcb4506f1620dbf8a6a77c341e04db4245e791980f2b21e1a0e7dadb2b52d,YES
C:\LAB\Tradingview_LAB_CLEAN\MTC_COMMAND_CENTER\04_SHARED\modules\LIB_WUNDERTRADING_HELPERS.pine,df18da6a27ec75820ccd2a2c89913692bbe2fc10cfb3fb6c5a7658777d1d8715,df18da6a27ec75820ccd2a2c89913692bbe2fc10cfb3fb6c5a7658777d1d8715,YES
